"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2018","13,540.00","13,597.50","13,615.00","13,347.50","","-0.68%"
"03/06/2018","13,632.50","13,452.50","13,707.50","13,402.50","","1.62%"
"03/05/2018","13,415.00","13,485.00","13,522.50","13,222.50","","-0.57%"
"03/02/2018","13,492.50","13,467.50","13,515.00","13,307.50","","0.77%"
"03/01/2018","13,390.00","13,732.50","13,825.00","13,305.00","","-2.53%"
"02/28/2018","13,737.50","13,800.00","13,882.50","13,730.00","","-0.72%"
"02/27/2018","13,837.50","13,920.00","14,030.00","13,705.00","","-0.70%"
"02/26/2018","13,935.00","13,810.00","14,060.00","13,670.00","","1.46%"
"02/23/2018","13,735.00","13,770.00","13,865.00","13,675.00","","-0.63%"
"02/22/2018","13,822.50","13,592.50","13,840.00","13,385.00","","0.33%"
"02/21/2018","13,777.50","13,602.50","13,935.00","13,410.00","","1.81%"
"02/20/2018","13,532.50","13,640.00","13,795.00","13,467.50","","-0.90%"
"02/19/2018","13,655.00","13,722.50","13,860.00","13,575.00","","-0.15%"
"02/16/2018","13,675.00","14,102.50","14,237.50","13,660.00","","-3.34%"
"02/15/2018","14,147.50","13,940.00","14,417.50","13,940.00","","1.07%"
"02/14/2018","13,997.50","13,455.00","14,132.50","13,412.50","","4.19%"
"02/13/2018","13,435.00","13,100.00","13,562.50","13,082.50","","2.48%"
"02/12/2018","13,110.00","13,042.50","13,160.00","12,967.50","","1.24%"
"02/09/2018","12,950.00","13,095.00","13,112.50","12,790.00","","-1.67%"
"02/08/2018","13,170.00","13,220.00","13,320.00","12,877.50","","-0.04%"
"02/07/2018","13,175.00","13,517.50","13,712.50","13,155.00","","-1.27%"
"02/06/2018","13,345.00","13,565.00","13,565.00","13,257.50","","-2.41%"
"02/05/2018","13,675.00","13,455.00","13,817.50","13,300.00","","1.20%"
"02/02/2018","13,512.50","13,962.50","13,975.00","13,190.00","","-3.19%"
"02/01/2018","13,957.50","13,535.00","14,027.50","13,427.50","","3.48%"
"01/31/2018","13,487.50","13,387.50","13,622.50","13,345.00","","0.71%"
"01/30/2018","13,392.50","13,827.50","13,912.50","13,300.00","","-3.25%"
"01/29/2018","13,842.50","13,685.00","14,052.50","13,685.00","","1.54%"
"01/26/2018","13,632.50","13,597.50","13,827.50","13,537.50","","-0.49%"
"01/25/2018","13,700.00","13,505.00","13,910.00","13,460.00","","1.24%"
"01/24/2018","13,532.50","12,850.00","13,660.00","12,725.00","","5.54%"
"01/23/2018","12,822.50","12,747.50","12,897.50","12,582.50","","0.69%"
"01/22/2018","12,735.00","12,685.00","12,840.00","12,647.50","","0.37%"
"01/19/2018","12,687.50","12,495.00","12,745.00","12,360.00","","1.81%"
"01/18/2018","12,462.50","12,410.00","12,595.00","12,380.00","","0.38%"
"01/17/2018","12,415.00","12,562.50","12,595.00","12,382.50","","-1.10%"
"01/16/2018","12,552.50","12,862.50","12,870.00","12,192.50","","-2.56%"
"01/15/2018","12,882.50","12,725.00","12,977.50","12,710.00","","1.74%"
"01/12/2018","12,662.50","12,642.50","12,737.50","12,560.00","","0.36%"
"01/11/2018","12,617.50","12,867.50","12,897.50","12,585.00","","-1.96%"
"01/10/2018","12,870.00","12,655.00","13,192.50","12,650.00","","1.62%"
"01/09/2018","12,665.00","12,577.50","12,780.00","12,517.50","","0.68%"
"01/08/2018","12,580.00","12,542.50","12,662.50","12,350.00","","0.26%"
"01/05/2018","12,547.50","12,635.00","12,667.50","12,435.00","","-0.75%"
"01/04/2018","12,642.50","12,427.50","12,712.50","12,372.50","","1.57%"
"01/03/2018","12,447.50","12,625.00","12,632.50","12,352.50","","-1.60%"
"01/02/2018","12,650.00","12,557.50","12,835.00","12,477.50","","-0.02%"
"12/29/2017","12,652.50","12,297.50","12,945.00","12,160.00","","2.43%"
"12/28/2017","12,352.50","12,065.00","12,417.50","11,952.50","","2.40%"
"12/27/2017","12,062.50","12,010.00","12,082.50","11,815.00","","-0.14%"
"12/22/2017","12,080.00","12,047.50","12,222.50","11,935.00","","-0.02%"
"12/21/2017","12,082.50","12,000.00","12,102.50","11,862.50","","0.58%"
"12/20/2017","12,012.50","11,765.00","12,110.00","11,710.00","","2.08%"
"12/19/2017","11,767.50","11,807.50","11,827.50","11,660.00","","-0.40%"
"12/18/2017","11,815.00","11,570.00","11,847.50","11,487.50","","2.14%"
"12/15/2017","11,567.50","11,182.50","11,627.50","11,152.50","","3.35%"
"12/14/2017","11,192.50","11,145.00","11,320.00","11,035.00","","0.88%"
"12/13/2017","11,095.00","11,107.50","11,222.50","11,082.50","","-0.11%"
"12/12/2017","11,107.50","11,182.50","11,225.00","10,980.00","","-0.94%"
"12/11/2017","11,212.50","10,950.00","11,232.50","10,845.00","","2.40%"
"12/08/2017","10,950.00","10,985.00","11,137.50","10,875.00","","-0.48%"
"12/07/2017","11,002.50","10,827.50","11,032.50","10,742.50","","1.66%"
"12/06/2017","10,822.50","10,897.50","10,927.50","10,757.50","","-0.78%"
"12/05/2017","10,907.50","11,365.00","11,380.00","10,867.50","","-4.17%"
"12/04/2017","11,382.50","11,342.50","11,467.50","11,277.50","","0.60%"
"12/01/2017","11,315.00","11,172.50","11,425.00","10,942.50","","1.55%"
"11/30/2017","11,142.50","11,420.00","11,442.50","11,112.50","","-2.52%"
"11/29/2017","11,430.00","11,362.50","11,497.50","11,285.00","","0.44%"
"11/28/2017","11,380.00","11,602.50","11,642.50","11,267.50","","-1.79%"
"11/27/2017","11,587.50","11,995.00","12,020.00","11,577.50","","-3.70%"
"11/24/2017","12,032.50","11,925.00","12,095.00","11,895.00","","0.96%"
"11/23/2017","11,917.50","11,877.50","11,942.50","11,660.00","","0.51%"
"11/22/2017","11,857.50","11,792.50","11,945.00","11,660.00","","0.04%"
"11/21/2017","11,852.50","11,667.50","11,877.50","11,612.50","","1.56%"
"11/20/2017","11,670.00","11,582.50","11,707.50","11,452.50","","0.63%"
"11/17/2017","11,597.50","11,447.50","11,635.00","11,425.00","","1.84%"
"11/16/2017","11,387.50","11,665.00","11,752.50","11,320.00","","-2.27%"
"11/15/2017","11,652.50","11,847.50","11,852.50","11,472.50","","-1.27%"
"11/14/2017","11,802.50","12,487.50","12,580.00","11,760.00","","-5.56%"
"11/13/2017","12,497.50","12,137.50","12,547.50","12,135.00","","3.31%"
"11/10/2017","12,097.50","12,307.50","12,447.50","12,072.50","","-1.55%"
"11/09/2017","12,287.50","12,660.00","12,680.00","12,190.00","","-3.23%"
"11/08/2017","12,697.50","12,647.50","12,722.50","12,522.50","","0.32%"
"11/07/2017","12,657.50","12,922.50","12,930.00","12,542.50","","-2.24%"
"11/06/2017","12,947.50","12,732.50","12,967.50","12,665.00","","1.93%"
"11/03/2017","12,702.50","12,617.50","12,792.50","12,517.50","","1.11%"
"11/02/2017","12,562.50","12,727.50","12,915.00","12,367.50","","-1.18%"
"11/01/2017","12,712.50","12,497.50","13,032.50","12,497.50","","2.33%"
"10/31/2017","12,422.50","11,592.50","12,560.00","11,555.00","","6.65%"
"10/30/2017","11,647.50","11,577.50","11,687.50","11,460.00","","0.65%"
"10/27/2017","11,572.50","11,752.50","11,752.50","11,355.00","","-1.59%"
"10/26/2017","11,760.00","11,857.50","11,975.00","11,645.00","","-0.80%"
"10/25/2017","11,855.00","12,032.50","12,085.00","11,792.50","","-1.52%"
"10/24/2017","12,037.50","11,892.50","12,082.50","11,880.00","","1.11%"
"10/23/2017","11,905.00","11,715.00","11,927.50","11,665.00","","1.43%"
"10/20/2017","11,737.50","11,767.50","12,162.50","11,650.00","","-0.25%"
"10/19/2017","11,767.50","11,632.50","11,790.00","11,582.50","","1.18%"
"10/18/2017","11,630.00","11,765.00","11,857.50","11,597.50","","-1.17%"
"10/17/2017","11,767.50","11,865.00","11,892.50","11,612.50","","-0.88%"
"10/16/2017","11,872.50","11,705.00","11,927.50","11,582.50","","1.34%"
"10/13/2017","11,715.00","11,415.00","11,742.50","11,367.50","","2.70%"
"10/12/2017","11,407.50","11,200.00","11,425.00","11,137.50","","2.01%"
"10/11/2017","11,182.50","11,027.50","11,240.00","10,887.50","","1.36%"
"10/10/2017","11,032.50","10,995.00","11,052.50","10,830.00","","0.36%"
"10/09/2017","10,992.50","10,577.50","11,012.50","10,562.50","","3.90%"
"10/06/2017","10,580.00","10,590.00","10,692.50","10,512.50","","0.05%"
"10/05/2017","10,575.00","10,607.50","10,702.50","10,517.50","","0.07%"
"10/04/2017","10,567.50","10,740.00","10,840.00","10,567.50","","-1.54%"
"10/03/2017","10,732.50","10,457.50","10,775.00","10,430.00","","2.70%"
"10/02/2017","10,450.00","10,547.50","10,595.00","10,272.50","","-0.71%"
"09/29/2017","10,525.00","10,455.00","10,832.50","10,372.50","","0.65%"
"09/28/2017","10,457.50","10,295.00","10,522.50","10,230.00","","1.75%"
"09/27/2017","10,277.50","10,455.00","10,617.50","10,212.50","","-1.72%"
"09/26/2017","10,457.50","10,625.00","10,680.00","10,412.50","","-1.46%"
"09/25/2017","10,612.50","10,622.50","10,652.50","10,442.50","","-0.19%"
"09/22/2017","10,632.50","10,722.50","10,825.00","10,432.50","","-0.79%"
"09/21/2017","10,717.50","11,342.50","11,352.50","10,622.50","","-5.70%"
"09/20/2017","11,365.00","11,147.50","11,482.50","11,145.00","","2.07%"
"09/19/2017","11,135.00","11,212.50","11,237.50","10,877.50","","-0.31%"
"09/18/2017","11,170.00","11,150.00","11,260.00","11,060.00","","0.40%"
"09/15/2017","11,125.00","11,222.50","11,267.50","10,850.00","","-0.71%"
"09/14/2017","11,205.00","11,422.50","11,517.50","11,115.00","","-1.99%"
"09/13/2017","11,432.50","11,915.00","11,972.50","11,337.50","","-4.09%"
"09/12/2017","11,920.00","11,845.00","11,972.50","11,587.50","","0.74%"
"09/11/2017","11,832.50","11,492.50","11,837.50","11,442.50","","3.00%"
"09/08/2017","11,487.50","12,292.50","12,367.50","11,470.00","","-5.72%"
"09/07/2017","12,185.00","12,217.50","12,315.00","12,007.50","","-0.51%"
"09/06/2017","12,247.50","11,977.50","12,252.50","11,907.50","","2.19%"
"09/05/2017","11,985.00","12,260.00","12,320.00","11,920.00","","-2.38%"
"09/04/2017","12,277.50","12,145.00","12,380.00","12,117.50","","1.15%"
"09/01/2017","12,137.50","11,780.00","12,147.50","11,750.00","","3.03%"
"08/31/2017","11,780.00","11,597.50","11,812.50","11,592.50","","1.49%"
"08/30/2017","11,607.50","11,712.50","11,792.50","11,562.50","","-1.02%"
"08/29/2017","11,727.50","11,727.50","11,887.50","11,602.50","","2.33%"
"08/25/2017","11,460.00","11,730.00","11,735.00","11,395.00","","-2.39%"
"08/24/2017","11,740.00","11,765.00","11,782.50","11,610.00","","-0.40%"
"08/23/2017","11,787.50","11,445.00","11,827.50","11,225.00","","3.04%"
"08/22/2017","11,440.00","11,342.50","11,557.50","11,237.50","","0.82%"
"08/21/2017","11,347.50","11,007.50","11,355.00","10,975.00","","3.16%"
"08/18/2017","11,000.00","10,672.50","11,052.50","10,615.00","","3.02%"
"08/17/2017","10,677.50","10,722.50","10,872.50","10,640.00","","-0.42%"
"08/16/2017","10,722.50","10,350.00","10,832.50","10,345.00","","3.75%"
"08/15/2017","10,335.00","10,430.00","10,507.50","10,335.00","","-0.89%"
"08/14/2017","10,427.50","10,632.50","10,725.00","10,387.50","","-2.00%"
"08/11/2017","10,640.00","10,877.50","10,900.00","10,537.50","","-2.14%"
"08/10/2017","10,872.50","10,752.50","10,987.50","10,727.50","","1.09%"
"08/09/2017","10,755.00","10,767.50","10,835.00","10,672.50","","0.12%"
"08/08/2017","10,742.50","10,377.50","10,777.50","10,260.00","","3.49%"
"08/07/2017","10,380.00","10,330.00","10,415.00","10,247.50","","0.46%"
"08/04/2017","10,332.50","10,372.50","10,412.50","10,180.00","","-0.43%"
"08/03/2017","10,377.50","10,337.50","10,447.50","10,247.50","","0.34%"
"08/02/2017","10,342.50","10,270.00","10,352.50","10,137.50","","1.10%"
"08/01/2017","10,230.00","10,227.50","10,297.50","10,087.50","","0.07%"
"07/31/2017","10,222.50","10,272.50","10,352.50","10,182.50","","-0.58%"
"07/28/2017","10,282.50","10,147.50","10,287.50","10,022.50","","1.33%"
"07/27/2017","10,147.50","9,980.00","10,217.50","9,977.50","","1.75%"
"07/26/2017","9,972.50","10,017.50","10,082.50","9,852.50","","-0.50%"
"07/25/2017","10,022.50","9,760.00","10,022.50","9,732.50","","2.72%"
"07/24/2017","9,757.50","9,537.50","9,777.50","9,477.50","","2.20%"
"07/21/2017","9,547.50","9,512.50","9,687.50","9,490.00","","0.34%"
"07/20/2017","9,515.00","9,645.00","9,687.50","9,462.50","","-1.37%"
"07/19/2017","9,647.50","9,730.00","9,777.50","9,632.50","","-0.85%"
"07/18/2017","9,730.00","9,615.00","9,770.00","9,557.50","","1.17%"
"07/17/2017","9,617.50","9,547.50","9,727.50","9,522.50","","0.84%"
"07/14/2017","9,537.50","9,185.00","9,572.50","9,175.00","","3.87%"
"07/13/2017","9,182.50","9,205.00","9,277.50","9,160.00","","-0.22%"
"07/12/2017","9,202.50","9,172.50","9,287.50","9,162.50","","0.27%"
"07/11/2017","9,177.50","8,997.50","9,207.50","8,972.50","","1.83%"
"07/10/2017","9,012.50","8,975.00","9,032.50","8,870.00","","0.33%"
"07/07/2017","8,982.50","9,105.00","9,105.00","8,917.50","","-1.26%"
"07/06/2017","9,097.50","9,137.50","9,172.50","9,072.50","","-0.46%"
"07/05/2017","9,140.00","9,162.50","9,202.50","9,067.50","","-0.25%"
"07/04/2017","9,162.50","9,345.00","9,345.00","9,112.50","","-1.82%"
"07/03/2017","9,332.50","9,375.00","9,442.50","9,297.50","","-0.43%"
"06/30/2017","9,372.50","9,272.50","9,377.50","9,215.00","","1.19%"
"06/29/2017","9,262.50","9,242.50","9,365.00","9,242.50","","0.22%"
"06/28/2017","9,242.50","9,232.50","9,292.50","9,172.50","","0.16%"
"06/27/2017","9,227.50","9,027.50","9,262.50","9,027.50","","2.22%"
"06/26/2017","9,027.50","9,107.50","9,152.50","9,007.50","","-0.82%"
"06/23/2017","9,102.50","9,057.50","9,227.50","9,027.50","","0.55%"
"06/22/2017","9,052.50","8,970.00","9,092.50","8,905.00","","0.89%"
"06/21/2017","8,972.50","8,875.00","9,017.50","8,857.50","","1.04%"
"06/20/2017","8,880.00","9,007.50","9,087.50","8,827.50","","-1.47%"
"06/19/2017","9,012.50","8,935.00","9,122.50","8,847.50","","0.84%"
"06/16/2017","8,937.50","8,890.00","8,990.00","8,880.00","","0.45%"
"06/15/2017","8,897.50","8,885.00","8,967.50","8,847.50","","0.06%"
"06/14/2017","8,892.50","8,810.00","8,942.50","8,770.00","","0.99%"
"06/13/2017","8,805.00","8,745.00","8,832.50","8,682.50","","0.66%"
"06/12/2017","8,747.50","8,965.00","9,042.50","8,742.50","","-2.34%"
"06/09/2017","8,957.50","8,837.50","8,985.00","8,792.50","","1.42%"
"06/08/2017","8,832.50","8,827.50","8,905.00","8,762.50","","0.17%"
"06/07/2017","8,817.50","8,917.50","8,962.50","8,812.50","","-1.12%"
"06/06/2017","8,917.50","8,870.00","9,002.50","8,842.50","","0.62%"
"06/05/2017","8,862.50","8,915.00","8,942.50","8,840.00","","-0.51%"
"06/02/2017","8,907.50","8,817.50","8,917.50","8,697.50","","0.99%"
"06/01/2017","8,820.00","8,955.00","8,960.00","8,812.50","","-1.48%"
"05/31/2017","8,952.50","9,125.00","9,160.00","8,827.50","","-1.84%"
"05/30/2017","9,120.00","9,085.00","9,175.00","9,032.50","","0.47%"
"05/26/2017","9,077.50","9,062.50","9,112.50","9,020.00","","0.33%"
"05/25/2017","9,047.50","9,132.50","9,190.00","9,037.50","","-0.88%"
"05/24/2017","9,127.50","9,350.00","9,367.50","9,087.50","","-2.30%"
"05/23/2017","9,342.50","9,407.50","9,432.50","9,267.50","","-0.61%"
"05/22/2017","9,400.00","9,365.00","9,442.50","9,342.50","","0.45%"
"05/19/2017","9,357.50","9,157.50","9,437.50","9,100.00","","2.07%"
"05/18/2017","9,167.50","9,117.50","9,195.00","8,997.50","","0.44%"
"05/17/2017","9,127.50","9,155.00","9,272.50","9,100.00","","-0.44%"
"05/16/2017","9,167.50","9,165.00","9,235.00","9,047.50","","0.05%"
"05/15/2017","9,162.50","9,322.50","9,380.00","9,152.50","","-1.77%"
"05/12/2017","9,327.50","9,302.50","9,392.50","9,252.50","","0.32%"
"05/11/2017","9,297.50","9,145.00","9,382.50","9,085.00","","1.70%"
"05/10/2017","9,142.50","9,225.00","9,257.50","9,072.50","","-0.81%"
"05/09/2017","9,217.50","9,145.00","9,317.50","9,102.50","","0.90%"
"05/08/2017","9,135.00","9,160.00","9,182.50","8,995.00","","-0.25%"
"05/05/2017","9,157.50","9,012.50","9,185.00","8,910.00","","1.72%"
"05/04/2017","9,002.50","9,237.50","9,290.00","8,975.00","","-2.60%"
"05/03/2017","9,242.50","9,542.50","9,550.00","9,217.50","","-3.19%"
"05/02/2017","9,547.50","9,492.50","9,572.50","9,455.00","","1.03%"
"04/28/2017","9,450.00","9,345.00","9,592.50","9,325.00","","1.20%"
"04/27/2017","9,337.50","9,285.00","9,367.50","9,192.50","","0.65%"
"04/26/2017","9,277.50","9,312.50","9,350.00","9,237.50","","-0.30%"
"04/25/2017","9,305.00","9,272.50","9,342.50","9,232.50","","0.40%"
"04/24/2017","9,267.50","9,407.50","9,442.50","9,247.50","","-1.20%"
"04/21/2017","9,380.00","9,492.50","9,560.00","9,345.00","","-1.16%"
"04/20/2017","9,490.00","9,405.00","9,562.50","9,332.50","","1.09%"
"04/19/2017","9,387.50","9,357.50","9,532.50","9,315.00","","0.40%"
"04/18/2017","9,350.00","9,687.50","9,725.00","9,312.50","","-3.68%"
"04/13/2017","9,707.50","9,717.50","9,845.00","9,660.00","","0.05%"
"04/12/2017","9,702.50","9,865.00","9,900.00","9,702.50","","-1.52%"
"04/11/2017","9,852.50","10,095.00","10,187.50","9,765.00","","-2.35%"
"04/10/2017","10,090.00","10,205.00","10,215.00","10,062.50","","-1.20%"
"04/07/2017","10,212.50","10,117.50","10,247.50","9,935.00","","0.99%"
"04/06/2017","10,112.50","10,327.50","10,372.50","10,057.50","","-2.18%"
"04/05/2017","10,337.50","9,987.50","10,357.50","9,977.50","","3.43%"
"04/04/2017","9,995.00","9,822.50","9,997.50","9,757.50","","1.91%"
"04/03/2017","9,807.50","10,022.50","10,077.50","9,797.50","","-2.15%"
"03/31/2017","10,022.50","10,040.00","10,117.50","9,887.50","","-0.02%"
"03/30/2017","10,025.00","10,032.50","10,142.50","9,937.50","","-0.02%"
"03/29/2017","10,027.50","10,025.00","10,092.50","9,932.50","","0.25%"
"03/28/2017","10,002.50","9,830.00","10,017.50","9,755.00","","1.65%"
"03/27/2017","9,840.00","9,865.00","9,907.50","9,682.50","","-0.40%"
"03/24/2017","9,880.00","10,002.50","10,030.00","9,827.50","","-1.37%"
"03/23/2017","10,017.50","10,085.00","10,112.50","9,960.00","","-0.50%"
"03/22/2017","10,067.50","10,137.50","10,147.50","9,920.00","","-0.81%"
"03/21/2017","10,150.00","10,190.00","10,240.00","10,115.00","","-0.32%"
"03/20/2017","10,182.50","10,275.00","10,307.50","10,095.00","","-0.88%"
"03/17/2017","10,272.50","10,220.00","10,292.50","10,137.50","","0.59%"
"03/16/2017","10,212.50","10,295.00","10,342.50","10,170.00","","-0.34%"
"03/15/2017","10,247.50","10,222.50","10,337.50","10,185.00","","0.22%"
"03/14/2017","10,225.00","10,202.50","10,295.00","10,052.50","","0.12%"
"03/13/2017","10,212.50","9,982.50","10,277.50","9,967.50","","2.97%"
"03/10/2017","9,917.50","10,172.50","10,212.50","9,862.50","","-2.34%"
"03/09/2017","10,155.00","10,165.00","10,230.00","10,012.50","","-0.17%"
"03/08/2017","10,172.50","10,687.50","10,732.50","10,110.00","","-4.64%"
"03/07/2017","10,667.50","11,065.00","11,065.00","10,630.00","","-3.70%"
"03/06/2017","11,077.50","10,970.00","11,087.50","10,937.50","","0.91%"
"03/03/2017","10,977.50","10,830.00","11,022.50","10,795.00","","1.57%"
"03/02/2017","10,807.50","11,045.00","11,072.50","10,765.00","","-2.08%"
"03/01/2017","11,037.50","10,970.00","11,110.00","10,912.50","","0.66%"
"02/28/2017","10,965.00","11,020.00","11,035.00","10,772.50","","-0.66%"
"02/27/2017","11,037.50","10,890.00","11,082.50","10,845.00","","1.40%"
"02/24/2017","10,885.00","10,555.00","10,910.00","10,555.00","","3.05%"
"02/23/2017","10,562.50","10,760.00","10,802.50","10,532.50","","-1.58%"
"02/22/2017","10,732.50","10,875.00","10,902.50","10,710.00","","-0.92%"
"02/21/2017","10,832.50","11,127.50","11,162.50","10,802.50","","-2.91%"
"02/20/2017","11,157.50","11,062.50","11,162.50","10,975.00","","0.84%"
"02/17/2017","11,065.00","11,032.50","11,067.50","10,855.00","","0.16%"
"02/16/2017","11,047.50","10,917.50","11,057.50","10,855.00","","1.28%"
"02/15/2017","10,907.50","10,757.50","10,922.50","10,692.50","","1.09%"
"02/14/2017","10,790.00","10,705.00","10,892.50","10,650.00","","1.01%"
"02/13/2017","10,682.50","10,655.00","10,782.50","10,640.00","","0.35%"
"02/10/2017","10,645.00","10,312.50","10,667.50","10,262.50","","3.40%"
"02/09/2017","10,295.00","10,465.00","10,487.50","10,267.50","","-1.69%"
"02/08/2017","10,472.50","10,345.00","10,532.50","10,337.50","","1.16%"
